judge,bundle,alias,arm,task_fidelity,correctness,specificity_traceability,restraint,usability,total,is_first
J55,review-convention-v2.2,B,M56-OPT,4,4,4,3,4,19,0
J55,review-convention-v2.2,C,M56-BARE,4,4,4,3,4,19,0
J55,review-convention-v2.2,D,M56-CURRENT,4,4,4,4,4,20,1
J55,review-convention.1,A,M55-CURRENT,4,4,4,3,4,19,0
J55,review-convention.1,B,M56-CURRENT,4,4,4,4,4,20,1
J55,review-convention.1,C,M56-BARE,4,4,4,3,4,19,0
J55,review-convention.1,D,M56-OPT,4,4,4,4,4,20,1
J55,review-convention.2,A,M56-BARE,4,4,4,3,3,18,0
J55,review-convention.2,B,M55-CURRENT,4,4,4,4,4,20,0
J55,review-convention.2,C,M56-OPT,4,4,4,4,4,20,1
J55,review-convention.2,D,M56-CURRENT,4,4,4,4,4,20,1
J55,review-universal.1,A,M56-BARE,4,4,4,3,4,19,0
J55,review-universal.1,B,M56-CURRENT,4,4,4,4,4,20,1
J55,review-universal.1,C,M56-OPT,4,4,4,4,4,20,1
J55,review-universal.1,D,M55-CURRENT,4,4,3,4,3,18,0
J55,review-universal.2,A,M56-BARE,4,4,4,3,4,19,0
J55,review-universal.2,B,M55-CURRENT,4,4,3,4,3,18,0
J55,review-universal.2,C,M56-OPT,4,4,4,4,4,20,1
J55,review-universal.2,D,M56-CURRENT,4,4,4,4,4,20,1
J55,screen-admin.1,A,M56-BARE,4,4,4,3,4,19,1
J55,screen-admin.1,B,M56-OPT,4,3,4,3,4,18,0
J55,screen-admin.1,C,M55-CURRENT,4,3,3,3,3,16,0
J55,screen-admin.1,D,M56-CURRENT,4,4,4,3,4,19,1
J55,screen-admin.2,A,M56-BARE,4,4,4,3,4,19,0
J55,screen-admin.2,B,M56-CURRENT,4,4,4,4,4,20,1
J55,screen-admin.2,C,M55-CURRENT,4,3,3,3,3,16,0
J55,screen-admin.2,D,M56-OPT,4,3,4,3,4,18,0
J56,create-backend-webhook.1,A,M56-CURRENT,4,4,4,4,4,20,1
J56,create-backend-webhook.1,B,M56-BARE,4,3,4,3,4,18,0
J56,create-backend-webhook.1,C,M56-OPT,4,4,4,3,4,19,0
J56,create-backend-webhook.1,D,M55-CURRENT,4,3,3,3,3,16,0
J56,create-backend-webhook.2,A,M56-OPT,4,4,4,4,4,20,1
J56,create-backend-webhook.2,B,M55-CURRENT,4,3,3,3,3,16,0
J56,create-backend-webhook.2,C,M56-CURRENT,4,4,4,3,4,19,0
J56,create-backend-webhook.2,D,M56-BARE,4,4,4,2,3,17,0
J56,create-mobile-expense.1,A,M56-OPT,4,4,4,3,4,19,1
J56,create-mobile-expense.1,B,M56-CURRENT,4,3,4,3,4,18,0
J56,create-mobile-expense.1,C,M55-CURRENT,4,3,3,4,3,17,0
J56,create-mobile-expense.1,D,M56-BARE,4,2,4,2,3,15,0
J56,create-mobile-expense.2,A,M56-OPT,4,2,4,2,3,15,0
J56,create-mobile-expense.2,B,M55-CURRENT,3,2,3,3,3,14,0
J56,create-mobile-expense.2,C,M56-BARE,4,3,4,2,3,16,0
J56,create-mobile-expense.2,D,M56-CURRENT,4,3,4,3,4,18,1
J56,create-ui-internal.1,A,M56-BARE,4,3,4,2,4,17,0
J56,create-ui-internal.1,B,M55-CURRENT,2,3,4,3,3,15,0
J56,create-ui-internal.1,C,M56-OPT,4,4,4,4,4,20,1
J56,create-ui-internal.1,D,M56-CURRENT,4,4,4,3,4,19,0
J56,create-ui-internal.2,A,M56-CURRENT,4,4,4,3,4,19,0
J56,create-ui-internal.2,B,M56-BARE,2,3,4,2,4,15,0
J56,create-ui-internal.2,C,M56-OPT,4,4,4,4,4,20,1
J56,create-ui-internal.2,D,M55-CURRENT,2,3,3,3,3,14,0
J56,review-clean-v2.1,A,M56-OPT,4,3,4,3,3,17,0
J56,review-clean-v2.1,B,M56-CURRENT,4,3,4,3,4,18,0
J56,review-clean-v2.1,C,M56-BARE,4,4,4,3,4,19,1
J56,review-clean-v2.1,D,M55-CURRENT,4,2,3,2,3,14,0
J56,review-clean-v2.2,A,M55-CURRENT,4,2,2,4,3,15,0
J56,review-clean-v2.2,B,M56-CURRENT,4,3,4,2,4,17,0
J56,review-clean-v2.2,C,M56-OPT,4,4,4,4,4,20,1
J56,review-clean-v2.2,D,M56-BARE,4,3,4,2,4,17,0
J56,review-clean.1,A,M56-OPT,4,3,4,2,4,17,0
J56,review-clean.1,B,M55-CURRENT,4,4,4,4,4,20,1
J56,review-clean.1,C,M56-CURRENT,4,3,4,2,3,16,0
J56,review-clean.1,D,M56-BARE,4,4,4,4,4,20,1
J56,review-clean.2,A,M56-OPT,4,3,4,3,4,18,0
J56,review-clean.2,B,M56-CURRENT,4,2,4,2,3,15,0
J56,review-clean.2,C,M55-CURRENT,4,4,4,4,4,20,1
J56,review-clean.2,D,M56-BARE,4,2,4,1,3,14,0
J56,review-convention-v2.1,A,M56-CURRENT,4,4,4,3,4,19,0
J56,review-convention-v2.1,B,M56-BARE,4,4,4,4,4,20,1
J56,review-convention-v2.1,C,M56-OPT,4,3,4,3,4,18,0
J56,review-convention-v2.1,D,M55-CURRENT,4,4,4,4,4,20,1
J56,review-convention-v2.2,A,M55-CURRENT,4,4,3,3,3,17,0
J56,review-convention-v2.2,B,M56-OPT,4,4,4,3,4,19,1
J56,review-convention-v2.2,C,M56-BARE,4,3,4,2,4,17,0
J56,review-convention-v2.2,D,M56-CURRENT,4,3,4,3,4,18,0
J56,review-convention.1,A,M55-CURRENT,4,3,4,2,4,17,0
J56,review-convention.1,B,M56-CURRENT,4,4,4,3,4,19,1
J56,review-convention.1,C,M56-BARE,4,3,4,2,4,17,0
J56,review-convention.1,D,M56-OPT,4,4,4,3,4,19,1
J56,review-convention.2,A,M56-BARE,4,3,4,2,3,16,0
J56,review-convention.2,B,M55-CURRENT,4,4,4,4,4,20,1
J56,review-convention.2,C,M56-OPT,4,4,4,3,4,19,0
J56,review-convention.2,D,M56-CURRENT,4,4,4,3,4,19,0
J56,review-universal.1,A,M56-BARE,4,4,4,3,4,19,0
J56,review-universal.1,B,M56-CURRENT,4,4,4,4,4,20,1
J56,review-universal.1,C,M56-OPT,4,4,4,3,4,19,0
J56,review-universal.1,D,M55-CURRENT,4,4,3,4,3,18,0
J56,review-universal.2,A,M56-BARE,4,3,4,2,3,16,0
J56,review-universal.2,B,M55-CURRENT,4,3,4,3,4,18,0
J56,review-universal.2,C,M56-OPT,4,4,4,3,4,19,0
J56,review-universal.2,D,M56-CURRENT,4,4,4,4,4,20,1
J56,screen-admin.1,A,M56-BARE,4,4,4,2,4,18,1
J56,screen-admin.1,B,M56-OPT,4,4,4,2,4,18,1
J56,screen-admin.1,C,M55-CURRENT,4,2,3,3,3,15,0
J56,screen-admin.1,D,M56-CURRENT,4,4,4,2,4,18,1
J56,screen-admin.2,A,M56-BARE,4,4,4,3,4,19,0
J56,screen-admin.2,B,M56-CURRENT,4,4,4,4,4,20,1
J56,screen-admin.2,C,M55-CURRENT,4,3,3,3,3,16,0
J56,screen-admin.2,D,M56-OPT,4,2,4,2,3,15,0
