arm,fixture,repeat,duration,tokens,lines,family,criterion,passed
M56-BARE,create-backend-webhook,5,80,4904,327,create,acceptance_gwt,0
M56-BARE,create-backend-webhook,5,80,4904,327,create,risks_open,0
M56-BARE,create-backend-webhook,5,80,4904,327,create,mapped_phases,0
M56-BARE,create-backend-webhook,5,80,4904,327,create,ui_applicability,0
M56-BARE,create-backend-webhook,5,80,4904,327,create,delivery_semantics,1
M56-BARE,create-backend-webhook,5,80,4904,327,create,security_open_no_fake_sla,1
M56-BARE,create-mobile-expense,1,103,7465,496,create,problem,0
M56-BARE,create-mobile-expense,1,103,7465,496,create,goals,1
M56-BARE,create-mobile-expense,1,103,7465,496,create,non_goals,1
M56-BARE,create-mobile-expense,1,103,7465,496,create,roles,1
M56-BARE,create-mobile-expense,1,103,7465,496,create,fr_ids,0
M56-BARE,create-mobile-expense,1,103,7465,496,create,server_authz,1
M56-BARE,create-mobile-expense,1,103,7465,496,create,nfr,0
M56-BARE,create-mobile-expense,1,103,7465,496,create,acceptance_gwt,0
M56-BARE,create-mobile-expense,1,103,7465,496,create,risks_open,0
M56-BARE,create-mobile-expense,1,103,7465,496,create,mapped_phases,0
M56-BARE,create-mobile-expense,1,103,7465,496,create,pages_routes,0
M56-BARE,create-mobile-expense,1,103,7465,496,create,state_matrix,0
M56-BARE,create-mobile-expense,1,103,7465,496,create,mermaid_flow,0
M56-BARE,create-mobile-expense,2,123,7863,447,create,problem,1
M56-BARE,create-mobile-expense,2,123,7863,447,create,goals,1
M56-BARE,create-mobile-expense,2,123,7863,447,create,non_goals,1
M56-BARE,create-mobile-expense,2,123,7863,447,create,roles,1
M56-BARE,create-mobile-expense,2,123,7863,447,create,fr_ids,1
M56-BARE,create-mobile-expense,2,123,7863,447,create,server_authz,1
M56-BARE,create-mobile-expense,2,123,7863,447,create,nfr,0
M56-BARE,create-mobile-expense,2,123,7863,447,create,acceptance_gwt,0
M56-BARE,create-mobile-expense,2,123,7863,447,create,risks_open,0
M56-BARE,create-mobile-expense,2,123,7863,447,create,mapped_phases,0
M56-BARE,create-mobile-expense,2,123,7863,447,create,pages_routes,0
M56-BARE,create-mobile-expense,2,123,7863,447,create,state_matrix,0
M56-BARE,create-mobile-expense,2,123,7863,447,create,mermaid_flow,0
M56-BARE,create-mobile-expense,3,109,18759,487,create,problem,0
M56-BARE,create-mobile-expense,3,109,18759,487,create,goals,0
M56-BARE,create-mobile-expense,3,109,18759,487,create,non_goals,1
M56-BARE,create-mobile-expense,3,109,18759,487,create,roles,1
M56-BARE,create-mobile-expense,3,109,18759,487,create,fr_ids,0
M56-BARE,create-mobile-expense,3,109,18759,487,create,server_authz,1
M56-BARE,create-mobile-expense,3,109,18759,487,create,nfr,0
M56-BARE,create-mobile-expense,3,109,18759,487,create,acceptance_gwt,0
M56-BARE,create-mobile-expense,3,109,18759,487,create,risks_open,0
M56-BARE,create-mobile-expense,3,109,18759,487,create,mapped_phases,0
M56-BARE,create-mobile-expense,3,109,18759,487,create,pages_routes,0
M56-BARE,create-mobile-expense,3,109,18759,487,create,state_matrix,0
M56-BARE,create-mobile-expense,3,109,18759,487,create,mermaid_flow,0
M56-BARE,create-mobile-expense,4,122,19548,568,create,problem,1
M56-BARE,create-mobile-expense,4,122,19548,568,create,goals,1
M56-BARE,create-mobile-expense,4,122,19548,568,create,non_goals,1
M56-BARE,create-mobile-expense,4,122,19548,568,create,roles,1
M56-BARE,create-mobile-expense,4,122,19548,568,create,fr_ids,0
M56-BARE,create-mobile-expense,4,122,19548,568,create,server_authz,1
M56-BARE,create-mobile-expense,4,122,19548,568,create,nfr,0
M56-BARE,create-mobile-expense,4,122,19548,568,create,acceptance_gwt,0
M56-BARE,create-mobile-expense,4,122,19548,568,create,risks_open,0
M56-BARE,create-mobile-expense,4,122,19548,568,create,mapped_phases,0
M56-BARE,create-mobile-expense,4,122,19548,568,create,pages_routes,0
M56-BARE,create-mobile-expense,4,122,19548,568,create,state_matrix,0
M56-BARE,create-mobile-expense,4,122,19548,568,create,mermaid_flow,0
M56-BARE,create-mobile-expense,5,138,16351,594,create,problem,0
M56-BARE,create-mobile-expense,5,138,16351,594,create,goals,1
M56-BARE,create-mobile-expense,5,138,16351,594,create,non_goals,1
M56-BARE,create-mobile-expense,5,138,16351,594,create,roles,0
M56-BARE,create-mobile-expense,5,138,16351,594,create,fr_ids,0
M56-BARE,create-mobile-expense,5,138,16351,594,create,server_authz,1
M56-BARE,create-mobile-expense,5,138,16351,594,create,nfr,0
M56-BARE,create-mobile-expense,5,138,16351,594,create,acceptance_gwt,0
M56-BARE,create-mobile-expense,5,138,16351,594,create,risks_open,0
M56-BARE,create-mobile-expense,5,138,16351,594,create,mapped_phases,0
M56-BARE,create-mobile-expense,5,138,16351,594,create,pages_routes,0
M56-BARE,create-mobile-expense,5,138,16351,594,create,state_matrix,0
M56-BARE,create-mobile-expense,5,138,16351,594,create,mermaid_flow,0
M56-BARE,create-ui-internal,1,95,18002,460,create,problem,1
M56-BARE,create-ui-internal,1,95,18002,460,create,goals,1
M56-BARE,create-ui-internal,1,95,18002,460,create,non_goals,1
M56-BARE,create-ui-internal,1,95,18002,460,create,roles,1
M56-BARE,create-ui-internal,1,95,18002,460,create,fr_ids,1
M56-BARE,create-ui-internal,1,95,18002,460,create,server_authz,1
M56-BARE,create-ui-internal,1,95,18002,460,create,nfr,1
M56-BARE,create-ui-internal,1,95,18002,460,create,acceptance_gwt,0
M56-BARE,create-ui-internal,1,95,18002,460,create,risks_open,0
M56-BARE,create-ui-internal,1,95,18002,460,create,mapped_phases,0
M56-BARE,create-ui-internal,1,95,18002,460,create,pages_routes,0
M56-BARE,create-ui-internal,1,95,18002,460,create,state_matrix,0
M56-BARE,create-ui-internal,1,95,18002,460,create,mermaid_flow,0
M56-BARE,create-ui-internal,2,94,6764,428,create,problem,1
M56-BARE,create-ui-internal,2,94,6764,428,create,goals,1
M56-BARE,create-ui-internal,2,94,6764,428,create,non_goals,1
M56-BARE,create-ui-internal,2,94,6764,428,create,roles,1
M56-BARE,create-ui-internal,2,94,6764,428,create,fr_ids,1
M56-BARE,create-ui-internal,2,94,6764,428,create,server_authz,1
M56-BARE,create-ui-internal,2,94,6764,428,create,nfr,1
M56-BARE,create-ui-internal,2,94,6764,428,create,acceptance_gwt,0
M56-BARE,create-ui-internal,2,94,6764,428,create,risks_open,0
M56-BARE,create-ui-internal,2,94,6764,428,create,mapped_phases,0
M56-BARE,create-ui-internal,2,94,6764,428,create,pages_routes,0
M56-BARE,create-ui-internal,2,94,6764,428,create,state_matrix,0
M56-BARE,create-ui-internal,2,94,6764,428,create,mermaid_flow,0
M56-BARE,create-ui-internal,3,100,18324,503,create,problem,1
M56-BARE,create-ui-internal,3,100,18324,503,create,goals,1
M56-BARE,create-ui-internal,3,100,18324,503,create,non_goals,1
M56-BARE,create-ui-internal,3,100,18324,503,create,roles,1
M56-BARE,create-ui-internal,3,100,18324,503,create,fr_ids,1
M56-BARE,create-ui-internal,3,100,18324,503,create,server_authz,1
M56-BARE,create-ui-internal,3,100,18324,503,create,nfr,1
M56-BARE,create-ui-internal,3,100,18324,503,create,acceptance_gwt,0
M56-BARE,create-ui-internal,3,100,18324,503,create,risks_open,0
M56-BARE,create-ui-internal,3,100,18324,503,create,mapped_phases,0
M56-BARE,create-ui-internal,3,100,18324,503,create,pages_routes,0
M56-BARE,create-ui-internal,3,100,18324,503,create,state_matrix,0
M56-BARE,create-ui-internal,3,100,18324,503,create,mermaid_flow,0
M56-BARE,create-ui-internal,4,101,17824,470,create,problem,1
M56-BARE,create-ui-internal,4,101,17824,470,create,goals,1
M56-BARE,create-ui-internal,4,101,17824,470,create,non_goals,1
M56-BARE,create-ui-internal,4,101,17824,470,create,roles,1
M56-BARE,create-ui-internal,4,101,17824,470,create,fr_ids,1
M56-BARE,create-ui-internal,4,101,17824,470,create,server_authz,1
M56-BARE,create-ui-internal,4,101,17824,470,create,nfr,1
M56-BARE,create-ui-internal,4,101,17824,470,create,acceptance_gwt,0
M56-BARE,create-ui-internal,4,101,17824,470,create,risks_open,0
M56-BARE,create-ui-internal,4,101,17824,470,create,mapped_phases,0
M56-BARE,create-ui-internal,4,101,17824,470,create,pages_routes,0
M56-BARE,create-ui-internal,4,101,17824,470,create,state_matrix,0
M56-BARE,create-ui-internal,4,101,17824,470,create,mermaid_flow,0
M56-BARE,create-ui-internal,5,107,18617,575,create,problem,1
M56-BARE,create-ui-internal,5,107,18617,575,create,goals,1
M56-BARE,create-ui-internal,5,107,18617,575,create,non_goals,1
M56-BARE,create-ui-internal,5,107,18617,575,create,roles,1
M56-BARE,create-ui-internal,5,107,18617,575,create,fr_ids,1
M56-BARE,create-ui-internal,5,107,18617,575,create,server_authz,1
M56-BARE,create-ui-internal,5,107,18617,575,create,nfr,1
M56-BARE,create-ui-internal,5,107,18617,575,create,acceptance_gwt,0
M56-BARE,create-ui-internal,5,107,18617,575,create,risks_open,0
M56-BARE,create-ui-internal,5,107,18617,575,create,mapped_phases,0
M56-BARE,create-ui-internal,5,107,18617,575,create,pages_routes,0
M56-BARE,create-ui-internal,5,107,18617,575,create,state_matrix,0
M56-BARE,create-ui-internal,5,107,18617,575,create,mermaid_flow,0
M56-BARE,review-contract-clean,1,101,8503,89,contract-review,applicability,0
M56-BARE,review-contract-clean,1,101,8503,89,contract-review,pages,0
M56-BARE,review-contract-clean,1,101,8503,89,contract-review,states,0
M56-BARE,review-contract-clean,1,101,8503,89,contract-review,flow,0
M56-BARE,review-contract-clean,1,101,8503,89,contract-review,acceptance,0
M56-BARE,review-contract-clean,1,101,8503,89,contract-review,delivery,0
M56-BARE,review-contract-clean,1,101,8503,89,clean-specificity,no-missing,0
M56-BARE,review-contract-clean,2,104,7670,133,contract-review,applicability,0
M56-BARE,review-contract-clean,2,104,7670,133,contract-review,pages,0
M56-BARE,review-contract-clean,2,104,7670,133,contract-review,states,0
M56-BARE,review-contract-clean,2,104,7670,133,contract-review,flow,0
M56-BARE,review-contract-clean,2,104,7670,133,contract-review,acceptance,0
M56-BARE,review-contract-clean,2,104,7670,133,contract-review,delivery,0
M56-BARE,review-contract-clean,2,104,7670,133,clean-specificity,no-missing,0
M56-BARE,review-contract-clean,3,102,19104,102,contract-review,applicability,0
M56-BARE,review-contract-clean,3,102,19104,102,contract-review,pages,0
M56-BARE,review-contract-clean,3,102,19104,102,contract-review,states,0
M56-BARE,review-contract-clean,3,102,19104,102,contract-review,flow,0
M56-BARE,review-contract-clean,3,102,19104,102,contract-review,acceptance,0
M56-BARE,review-contract-clean,3,102,19104,102,contract-review,delivery,0
M56-BARE,review-contract-clean,3,102,19104,102,clean-specificity,no-missing,0
M56-BARE,review-contract-clean,4,87,11251,99,contract-review,applicability,0
M56-BARE,review-contract-clean,4,87,11251,99,contract-review,pages,0
M56-BARE,review-contract-clean,4,87,11251,99,contract-review,states,0
M56-BARE,review-contract-clean,4,87,11251,99,contract-review,flow,0
M56-BARE,review-contract-clean,4,87,11251,99,contract-review,acceptance,0
M56-BARE,review-contract-clean,4,87,11251,99,contract-review,delivery,0
M56-BARE,review-contract-clean,4,87,11251,99,clean-specificity,no-missing,0
M56-BARE,review-contract-clean,5,88,7304,85,contract-review,applicability,0
M56-BARE,review-contract-clean,5,88,7304,85,contract-review,pages,0
M56-BARE,review-contract-clean,5,88,7304,85,contract-review,states,0
M56-BARE,review-contract-clean,5,88,7304,85,contract-review,flow,0
M56-BARE,review-contract-clean,5,88,7304,85,contract-review,acceptance,0
M56-BARE,review-contract-clean,5,88,7304,85,contract-review,delivery,0
M56-BARE,review-contract-clean,5,88,7304,85,clean-specificity,no-missing,0
M56-BARE,review-missing-acceptance,1,89,7199,89,contract-review,applicability,0
M56-BARE,review-missing-acceptance,1,89,7199,89,contract-review,pages,0
M56-BARE,review-missing-acceptance,1,89,7199,89,contract-review,states,0
M56-BARE,review-missing-acceptance,1,89,7199,89,contract-review,flow,0
M56-BARE,review-missing-acceptance,1,89,7199,89,contract-review,acceptance,0
M56-BARE,review-missing-acceptance,1,89,7199,89,contract-review,delivery,0
M56-BARE,review-missing-acceptance,1,89,7199,89,omission-recall,acceptance,0
M56-BARE,review-missing-acceptance,2,109,6774,74,contract-review,applicability,0
M56-BARE,review-missing-acceptance,2,109,6774,74,contract-review,pages,1
M56-BARE,review-missing-acceptance,2,109,6774,74,contract-review,states,0
M56-BARE,review-missing-acceptance,2,109,6774,74,contract-review,flow,0
M56-BARE,review-missing-acceptance,2,109,6774,74,contract-review,acceptance,0
M56-BARE,review-missing-acceptance,2,109,6774,74,contract-review,delivery,0
M56-BARE,review-missing-acceptance,2,109,6774,74,omission-recall,acceptance,0
M56-BARE,review-missing-acceptance,3,78,7174,85,contract-review,applicability,0
M56-BARE,review-missing-acceptance,3,78,7174,85,contract-review,pages,0
M56-BARE,review-missing-acceptance,3,78,7174,85,contract-review,states,0
M56-BARE,review-missing-acceptance,3,78,7174,85,contract-review,flow,0
M56-BARE,review-missing-acceptance,3,78,7174,85,contract-review,acceptance,0
M56-BARE,review-missing-acceptance,3,78,7174,85,contract-review,delivery,0
M56-BARE,review-missing-acceptance,3,78,7174,85,omission-recall,acceptance,0
M56-BARE,review-missing-acceptance,4,104,6191,101,contract-review,applicability,0
M56-BARE,review-missing-acceptance,4,104,6191,101,contract-review,pages,0
M56-BARE,review-missing-acceptance,4,104,6191,101,contract-review,states,0
M56-BARE,review-missing-acceptance,4,104,6191,101,contract-review,flow,0
M56-BARE,review-missing-acceptance,4,104,6191,101,contract-review,acceptance,0
M56-BARE,review-missing-acceptance,4,104,6191,101,contract-review,delivery,0
M56-BARE,review-missing-acceptance,4,104,6191,101,omission-recall,acceptance,0
M56-BARE,review-missing-acceptance,5,86,6806,40,contract-review,applicability,0
M56-BARE,review-missing-acceptance,5,86,6806,40,contract-review,pages,0
M56-BARE,review-missing-acceptance,5,86,6806,40,contract-review,states,0
M56-BARE,review-missing-acceptance,5,86,6806,40,contract-review,flow,0
M56-BARE,review-missing-acceptance,5,86,6806,40,contract-review,acceptance,0
M56-BARE,review-missing-acceptance,5,86,6806,40,contract-review,delivery,0
M56-BARE,review-missing-acceptance,5,86,6806,40,omission-recall,acceptance,0
M56-BARE,review-missing-applicability,1,86,14688,118,contract-review,applicability,0
M56-BARE,review-missing-applicability,1,86,14688,118,contract-review,pages,0
M56-BARE,review-missing-applicability,1,86,14688,118,contract-review,states,0
M56-BARE,review-missing-applicability,1,86,14688,118,contract-review,flow,0
M56-BARE,review-missing-applicability,1,86,14688,118,contract-review,acceptance,0
M56-BARE,review-missing-applicability,1,86,14688,118,contract-review,delivery,1
M56-BARE,review-missing-applicability,1,86,14688,118,omission-recall,applicability,0
M56-BARE,review-missing-applicability,2,86,6535,93,contract-review,applicability,0
M56-BARE,review-missing-applicability,2,86,6535,93,contract-review,pages,0
M56-BARE,review-missing-applicability,2,86,6535,93,contract-review,states,0
M56-BARE,review-missing-applicability,2,86,6535,93,contract-review,flow,0
M56-BARE,review-missing-applicability,2,86,6535,93,contract-review,acceptance,0
M56-BARE,review-missing-applicability,2,86,6535,93,contract-review,delivery,0
M56-BARE,review-missing-applicability,2,86,6535,93,omission-recall,applicability,0
M56-BARE,review-missing-applicability,3,134,8458,103,contract-review,applicability,0
M56-BARE,review-missing-applicability,3,134,8458,103,contract-review,pages,0
M56-BARE,review-missing-applicability,3,134,8458,103,contract-review,states,0
M56-BARE,review-missing-applicability,3,134,8458,103,contract-review,flow,0
M56-BARE,review-missing-applicability,3,134,8458,103,contract-review,acceptance,1
M56-BARE,review-missing-applicability,3,134,8458,103,contract-review,delivery,1
M56-BARE,review-missing-applicability,3,134,8458,103,omission-recall,applicability,0
M56-BARE,review-missing-applicability,4,130,19462,32,contract-review,applicability,0
M56-BARE,review-missing-applicability,4,130,19462,32,contract-review,pages,0
M56-BARE,review-missing-applicability,4,130,19462,32,contract-review,states,0
M56-BARE,review-missing-applicability,4,130,19462,32,contract-review,flow,0
M56-BARE,review-missing-applicability,4,130,19462,32,contract-review,acceptance,0
M56-BARE,review-missing-applicability,4,130,19462,32,contract-review,delivery,0
M56-BARE,review-missing-applicability,4,130,19462,32,omission-recall,applicability,0
M56-BARE,review-missing-applicability,5,120,8105,142,contract-review,applicability,0
M56-BARE,review-missing-applicability,5,120,8105,142,contract-review,pages,0
M56-BARE,review-missing-applicability,5,120,8105,142,contract-review,states,0
M56-BARE,review-missing-applicability,5,120,8105,142,contract-review,flow,0
M56-BARE,review-missing-applicability,5,120,8105,142,contract-review,acceptance,0
M56-BARE,review-missing-applicability,5,120,8105,142,contract-review,delivery,0
M56-BARE,review-missing-applicability,5,120,8105,142,omission-recall,applicability,0
M56-BARE,review-missing-delivery,1,82,6859,85,contract-review,applicability,0
M56-BARE,review-missing-delivery,1,82,6859,85,contract-review,pages,0
M56-BARE,review-missing-delivery,1,82,6859,85,contract-review,states,0
M56-BARE,review-missing-delivery,1,82,6859,85,contract-review,flow,0
M56-BARE,review-missing-delivery,1,82,6859,85,contract-review,acceptance,0
M56-BARE,review-missing-delivery,1,82,6859,85,contract-review,delivery,0
M56-BARE,review-missing-delivery,1,82,6859,85,omission-recall,delivery,0
M56-BARE,review-missing-delivery,2,105,7560,87,contract-review,applicability,0
M56-BARE,review-missing-delivery,2,105,7560,87,contract-review,pages,0
M56-BARE,review-missing-delivery,2,105,7560,87,contract-review,states,0
M56-BARE,review-missing-delivery,2,105,7560,87,contract-review,flow,0
M56-BARE,review-missing-delivery,2,105,7560,87,contract-review,acceptance,0
M56-BARE,review-missing-delivery,2,105,7560,87,contract-review,delivery,0
M56-BARE,review-missing-delivery,2,105,7560,87,omission-recall,delivery,0
M56-BARE,review-missing-delivery,3,138,6221,101,contract-review,applicability,0
M56-BARE,review-missing-delivery,3,138,6221,101,contract-review,pages,0
M56-BARE,review-missing-delivery,3,138,6221,101,contract-review,states,0
M56-BARE,review-missing-delivery,3,138,6221,101,contract-review,flow,0
M56-BARE,review-missing-delivery,3,138,6221,101,contract-review,acceptance,0
M56-BARE,review-missing-delivery,3,138,6221,101,contract-review,delivery,0
M56-BARE,review-missing-delivery,3,138,6221,101,omission-recall,delivery,0
M56-BARE,review-missing-delivery,4,100,5189,103,contract-review,applicability,0
M56-BARE,review-missing-delivery,4,100,5189,103,contract-review,pages,0
M56-BARE,review-missing-delivery,4,100,5189,103,contract-review,states,0
M56-BARE,review-missing-delivery,4,100,5189,103,contract-review,flow,0
M56-BARE,review-missing-delivery,4,100,5189,103,contract-review,acceptance,0
M56-BARE,review-missing-delivery,4,100,5189,103,contract-review,delivery,0
M56-BARE,review-missing-delivery,4,100,5189,103,omission-recall,delivery,0
M56-BARE,review-missing-delivery,5,99,3880,80,contract-review,applicability,0
M56-BARE,review-missing-delivery,5,99,3880,80,contract-review,pages,0
M56-BARE,review-missing-delivery,5,99,3880,80,contract-review,states,0
M56-BARE,review-missing-delivery,5,99,3880,80,contract-review,flow,0
M56-BARE,review-missing-delivery,5,99,3880,80,contract-review,acceptance,0
M56-BARE,review-missing-delivery,5,99,3880,80,contract-review,delivery,0
M56-BARE,review-missing-delivery,5,99,3880,80,omission-recall,delivery,0
M56-BARE,review-missing-flow,1,97,7466,97,contract-review,applicability,0
M56-BARE,review-missing-flow,1,97,7466,97,contract-review,pages,0
M56-BARE,review-missing-flow,1,97,7466,97,contract-review,states,0
M56-BARE,review-missing-flow,1,97,7466,97,contract-review,flow,0
M56-BARE,review-missing-flow,1,97,7466,97,contract-review,acceptance,0
M56-BARE,review-missing-flow,1,97,7466,97,contract-review,delivery,0
M56-BARE,review-missing-flow,1,97,7466,97,omission-recall,flow,0
M56-BARE,review-missing-flow,2,102,7528,97,contract-review,applicability,0
M56-BARE,review-missing-flow,2,102,7528,97,contract-review,pages,0
M56-BARE,review-missing-flow,2,102,7528,97,contract-review,states,0
M56-BARE,review-missing-flow,2,102,7528,97,contract-review,flow,0
M56-BARE,review-missing-flow,2,102,7528,97,contract-review,acceptance,0
M56-BARE,review-missing-flow,2,102,7528,97,contract-review,delivery,0
M56-BARE,review-missing-flow,2,102,7528,97,omission-recall,flow,0
M56-BARE,review-missing-flow,3,157,6959,94,contract-review,applicability,0
M56-BARE,review-missing-flow,3,157,6959,94,contract-review,pages,0
M56-BARE,review-missing-flow,3,157,6959,94,contract-review,states,0
M56-BARE,review-missing-flow,3,157,6959,94,contract-review,flow,0
M56-BARE,review-missing-flow,3,157,6959,94,contract-review,acceptance,0
M56-BARE,review-missing-flow,3,157,6959,94,contract-review,delivery,0
M56-BARE,review-missing-flow,3,157,6959,94,omission-recall,flow,0
M56-BARE,review-missing-flow,4,141,6006,87,contract-review,applicability,0
M56-BARE,review-missing-flow,4,141,6006,87,contract-review,pages,0
M56-BARE,review-missing-flow,4,141,6006,87,contract-review,states,0
M56-BARE,review-missing-flow,4,141,6006,87,contract-review,flow,0
M56-BARE,review-missing-flow,4,141,6006,87,contract-review,acceptance,0
M56-BARE,review-missing-flow,4,141,6006,87,contract-review,delivery,0
M56-BARE,review-missing-flow,4,141,6006,87,omission-recall,flow,0
M56-BARE,review-missing-flow,5,90,6946,91,contract-review,applicability,0
M56-BARE,review-missing-flow,5,90,6946,91,contract-review,pages,0
M56-BARE,review-missing-flow,5,90,6946,91,contract-review,states,1
M56-BARE,review-missing-flow,5,90,6946,91,contract-review,flow,0
M56-BARE,review-missing-flow,5,90,6946,91,contract-review,acceptance,0
M56-BARE,review-missing-flow,5,90,6946,91,contract-review,delivery,0
M56-BARE,review-missing-flow,5,90,6946,91,omission-recall,flow,0
M56-BARE,review-missing-pages,1,91,6998,47,contract-review,applicability,0
M56-BARE,review-missing-pages,1,91,6998,47,contract-review,pages,0
M56-BARE,review-missing-pages,1,91,6998,47,contract-review,states,0
M56-BARE,review-missing-pages,1,91,6998,47,contract-review,flow,0
M56-BARE,review-missing-pages,1,91,6998,47,contract-review,acceptance,0
M56-BARE,review-missing-pages,1,91,6998,47,contract-review,delivery,0
M56-BARE,review-missing-pages,1,91,6998,47,omission-recall,pages,0
M56-BARE,review-missing-pages,2,119,8198,119,contract-review,applicability,0
M56-BARE,review-missing-pages,2,119,8198,119,contract-review,pages,1
M56-BARE,review-missing-pages,2,119,8198,119,contract-review,states,0
M56-BARE,review-missing-pages,2,119,8198,119,contract-review,flow,1
M56-BARE,review-missing-pages,2,119,8198,119,contract-review,acceptance,0
M56-BARE,review-missing-pages,2,119,8198,119,contract-review,delivery,0
M56-BARE,review-missing-pages,2,119,8198,119,omission-recall,pages,1
M56-BARE,review-missing-pages,3,84,7457,38,contract-review,applicability,0
M56-BARE,review-missing-pages,3,84,7457,38,contract-review,pages,0
M56-BARE,review-missing-pages,3,84,7457,38,contract-review,states,1
M56-BARE,review-missing-pages,3,84,7457,38,contract-review,flow,1
M56-BARE,review-missing-pages,3,84,7457,38,contract-review,acceptance,0
M56-BARE,review-missing-pages,3,84,7457,38,contract-review,delivery,0
M56-BARE,review-missing-pages,3,84,7457,38,omission-recall,pages,0
M56-BARE,review-missing-pages,4,132,7109,95,contract-review,applicability,0
M56-BARE,review-missing-pages,4,132,7109,95,contract-review,pages,0
M56-BARE,review-missing-pages,4,132,7109,95,contract-review,states,0
M56-BARE,review-missing-pages,4,132,7109,95,contract-review,flow,0
M56-BARE,review-missing-pages,4,132,7109,95,contract-review,acceptance,0
M56-BARE,review-missing-pages,4,132,7109,95,contract-review,delivery,0
M56-BARE,review-missing-pages,4,132,7109,95,omission-recall,pages,0
M56-BARE,review-missing-pages,5,132,7964,101,contract-review,applicability,0
M56-BARE,review-missing-pages,5,132,7964,101,contract-review,pages,1
